metric,unit,model,selected_ml_model,year,forecast,backtest_stress_lower,backtest_stress_upper,calibration_max_absolute_log_error,interval_note,native_gp_forecast,native_gp_interval95_lower,native_gp_interval95_upper,conditional_bayesian_forecast,conditional_bayesian_interval95_lower,conditional_bayesian_interval95_upper
tourist_visits,10k_persons,naive_last,False,2025,2643.000000,2230.503214,3131.781634,0.169687,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,naive_last,False,2026,2643.000000,2230.503214,3131.781634,0.169687,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,naive_last,False,2027,2643.000000,2230.503214,3131.781634,0.169687,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,naive_last,False,2028,2643.000000,2230.503214,3131.781634,0.169687,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,naive_last,False,2029,2643.000000,2230.503214,3131.781634,0.169687,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,naive_last,False,2030,2643.000000,2230.503214,3131.781634,0.169687,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,ridge_regime,True,2025,3056.589356,1401.273081,6667.321752,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,ridge_regime,True,2026,3494.486403,1602.024072,7622.504201,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,ridge_regime,True,2027,3995.118022,1831.535311,8714.529230,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,ridge_regime,True,2028,4567.471773,2093.927085,9963.001358,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,ridge_regime,True,2029,5221.822805,2393.909969,11390.333709,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,ridge_regime,True,2030,5969.918320,2736.869386,13022.150389,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,bayesian_ridge,False,2025,3056.603965,1401.947456,6664.178286,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,3056.603965,2756.520650,3389.355271
tourist_visits,10k_persons,bayesian_ridge,False,2026,3494.598755,1602.838932,7619.118934,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,3494.598755,3146.130430,3881.663754
tourist_visits,10k_persons,bayesian_ridge,False,2027,3995.355825,1832.517068,8710.897402,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,3995.355825,3587.930643,4449.045914
tourist_visits,10k_persons,bayesian_ridge,False,2028,4567.868671,2095.106837,9959.121811,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,4567.868671,4088.715250,5103.173717
tourist_visits,10k_persons,bayesian_ridge,False,2029,5222.419507,2395.324297,11386.210016,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,5222.419507,4656.213014,5857.478045
tourist_visits,10k_persons,bayesian_ridge,False,2030,5970.763931,2738.561293,13017.792230,0.779442,max rolling-origin absolute log error envelope; no coverage guarantee,,,,5970.763931,5299.213040,6727.418138
tourist_visits,10k_persons,huber_regime,False,2025,3070.710615,1352.401560,6972.236619,0.820027,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,huber_regime,False,2026,3519.250499,1549.947378,7990.673911,0.820027,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,huber_regime,False,2027,4033.308777,1776.348789,9157.874732,0.820027,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,huber_regime,False,2028,4622.455745,2035.820742,10495.569026,0.820027,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,huber_regime,False,2029,5297.659639,2333.193863,12028.660842,0.820027,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,huber_regime,False,2030,6071.490826,2674.004390,13785.691970,0.820027,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,spline_ridge,False,2025,2113.242073,1466.845745,3044.486494,0.365109,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,spline_ridge,False,2026,1878.206922,1303.702906,2705.878176,0.365109,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,spline_ridge,False,2027,1669.312421,1158.704842,2404.929934,0.365109,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,spline_ridge,False,2028,1483.651203,1029.833488,2137.453208,0.365109,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,spline_ridge,False,2029,1318.639258,915.295228,1899.725291,0.365109,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,spline_ridge,False,2030,1171.979970,813.495933,1688.437513,0.365109,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,svr_rbf,False,2025,2518.115202,1887.366937,3359.656275,0.288328,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,svr_rbf,False,2026,2497.670742,1872.043492,3332.379382,0.288328,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,svr_rbf,False,2027,2454.792410,1839.905508,3275.171333,0.288328,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,svr_rbf,False,2028,2394.379119,1794.624797,3194.568233,0.288328,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,svr_rbf,False,2029,2322.784983,1740.963866,3099.047706,0.288328,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,svr_rbf,False,2030,2246.631098,1683.885332,2997.443587,0.288328,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,random_forest,False,2025,2593.643118,2056.581774,3270.954119,0.232018,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,random_forest,False,2026,2593.643118,2056.581774,3270.954119,0.232018,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,random_forest,False,2027,2593.643118,2056.581774,3270.954119,0.232018,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,random_forest,False,2028,2593.643118,2056.581774,3270.954119,0.232018,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,random_forest,False,2029,2593.643118,2056.581774,3270.954119,0.232018,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,random_forest,False,2030,2593.643118,2056.581774,3270.954119,0.232018,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,gaussian_process,False,2025,2913.025926,1497.235005,5667.593943,0.665572,max rolling-origin absolute log error envelope; no coverage guarantee,2913.025926,2516.226811,3372.398708,,,
tourist_visits,10k_persons,gaussian_process,False,2026,3229.419335,1659.854666,6283.170122,0.665572,max rolling-origin absolute log error envelope; no coverage guarantee,3229.419335,2626.640462,3970.527902,,,
tourist_visits,10k_persons,gaussian_process,False,2027,3582.477176,1841.319085,6970.080753,0.665572,max rolling-origin absolute log error envelope; no coverage guarantee,3582.477176,2722.741897,4713.683191,,,
tourist_visits,10k_persons,gaussian_process,False,2028,3974.993843,2043.064524,7733.762623,0.665572,max rolling-origin absolute log error envelope; no coverage guarantee,3974.993843,2812.452734,5618.077012,,,
tourist_visits,10k_persons,gaussian_process,False,2029,4409.739712,2266.514898,8579.605783,0.665572,max rolling-origin absolute log error envelope; no coverage guarantee,4409.739712,2899.379767,6706.884195,,,
tourist_visits,10k_persons,gaussian_process,False,2030,4889.555460,2513.130257,9513.137065,0.665572,max rolling-origin absolute log error envelope; no coverage guarantee,4889.555460,2986.265455,8005.903344,,,
tourist_visits,10k_persons,robust_ml_ensemble,False,2025,3056.603965,1401.279778,6667.353618,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,robust_ml_ensemble,False,2026,3494.598755,1602.075579,7622.749273,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,robust_ml_ensemble,False,2027,3995.355825,1831.644331,8715.047950,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,robust_ml_ensemble,False,2028,4567.868671,2094.109041,9963.867110,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,robust_ml_ensemble,False,2029,5222.419507,2394.183522,11391.635290,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourist_visits,10k_persons,robust_ml_ensemble,False,2030,5970.763931,2737.257051,13023.994917,0.779919,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourism_comprehensive_income,100m_cny,naive_last,False,2025,221.000000,126.945170,384.740909,0.554407,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourism_comprehensive_income,100m_cny,naive_last,False,2026,221.000000,126.945170,384.740909,0.554407,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourism_comprehensive_income,100m_cny,naive_last,False,2027,221.000000,126.945170,384.740909,0.554407,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
tourism_comprehensive_income,100m_cny,naive_last,False,2028,221.000000,126.945170,384.740909,0.554407,max rolling-origin absolute log error envelope; no coverage guarantee,,,,,,
